#{"t_start": 1786528689.3629901, "env_id": "None"}
r,l,t,true_completion_rate,cheat_rate,report_rate,audit_prob,steps_taken
2.55,150,1658.388334,0.33333333333333337,0.9411764705882353,1.4166666666666667,0.05,150
1.75,150,1659.013032,0.125,0.9090909090909091,1.375,0.05,150
3.0,150,1659.602368,0.25,0.7777777777777778,0.75,0.05,150
3.8,150,1660.041785,0.1875,0.8333333333333334,1.125,0.05,150
-12.05,150,1660.636224,0.3076923076923077,0.6666666666666666,0.23076923076923078,0.05,150
2.15,150,1661.086778,0.16666666666666663,0.9411764705882353,1.4166666666666667,0.05,150
-20.85,150,1661.627238,0.1333333333333333,0.8571428571428571,0.4666666666666667,0.05,150
1.55,150,1662.276489,0.33333333333333337,0.9285714285714286,1.1666666666666667,0.05,150
1.05,150,1662.849951,0.16666666666666663,0.95,1.6666666666666667,0.05,150
1.9,150,1663.351937,0.2222222222222222,0.9285714285714286,1.5555555555555556,0.05,150
-12.05,150,1664.111813,0.05882352941176472,0.9230769230769231,0.7647058823529411,0.05,150
2.35,150,1664.608533,0.3846153846153846,0.75,0.9230769230769231,0.05,150
3.3,150,1666.805195,0.18181818181818177,0.9411764705882353,1.5454545454545454,0.05,150
2.2,150,1667.227488,0.2222222222222222,0.8823529411764706,1.8888888888888888,0.05,150
1.5,150,1667.928791,0.4,0.6363636363636364,1.1,0.05,150
-6.65,150,1668.673989,0.5,0.625,0.6666666666666666,0.05,150
1.45,150,1669.436999,0.08333333333333337,0.9285714285714286,1.1666666666666667,0.05,150
1.35,150,1670.223467,0.4285714285714286,0.5,0.8571428571428571,0.05,150
1.8,150,1670.680829,0.33333333333333337,0.7,1.1111111111111112,0.05,150
2.7,150,1671.313614,0.3571428571428571,0.75,1.1428571428571428,0.05,150
0.9,150,1671.952455,0.18181818181818177,0.9285714285714286,1.2727272727272727,0.05,150
2.8,150,1672.541284,0.3076923076923077,0.7777777777777778,1.3846153846153846,0.05,150
2.45,150,1673.375038,0.23076923076923073,0.9411764705882353,1.3076923076923077,0.05,150
-12.5,150,1674.207658,0.2142857142857143,0.9,0.7142857142857143,0.05,150
-14.15,150,1674.829761,0.33333333333333337,0.8181818181818182,0.7333333333333333,0.05,150
-13.5,150,1675.333972,0.5263157894736843,0.8461538461538461,0.6842105263157895,0.05,150
2.85,150,1677.349359,0.0714285714285714,0.9285714285714286,1.0,0.05,150
